Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
2022-0336-LKA,2022,0336,,Natural,Meteorological,Storm,Convective storm,Severe storm,,Sri Lanka,LKA,Southern Asia,Asia,"Sabaragamuwa, Central provinces; Gampaha and Colombo (Western Province)",Heavy rains,,,,,,,,Kph,,,,,2022,5,29,2022,6,2,1,,22338,,22338,,,,,,,,1;2,2736;2741,25851;25852,"Central, Sabaragamuwa (Adm1). Colombo, Gampaha (Adm2)."
2022-0490-LKA,2022,0490,LS-2022-000283,Natural,Hydrological,Flood,Flash flood,,,Sri Lanka,LKA,Southern Asia,Asia,"Nuwara Eliya District (southern Central Province); Kandy District (central-western Central Province); Jaffna, Kandy, Matale, Gampaha, Galle, Matara, Hambantota, Kegalle, Rathnapura",Heavy rains,,,,,,,,Km2,,,,,2022,8,1,2022,8,8,8,2,15446,,15448,,,,,,,,2,,25830;25839;25844;25845;25846;25847;25848;25852;41748;41749,"Galle, Gampaha, Hambantota, Jaffna, Kandy, Kegalle, Matale, Matara, Nuwara Eliya, Ratnapura (Adm2)."
2022-0798-LKA,2022,0798,,Natural,Meteorological,Storm,Tropical cyclone,,Cyclone 'Mandous',Sri Lanka,LKA,Southern Asia,Asia,Badulla District (Uva Province),,,,,,,,100,Kph,,,,,2022,12,6,2022,12,8,2,,6500,,6500,,,,,,,,2,,25849,Badulla (Adm2).
2022-0785-LKA,2022,0785,,Natural,Hydrological,Flood,,,,Sri Lanka,LKA,Southern Asia,Asia,"Awissawella area of the Colombo district; Kegalle, Kurunegala, Rathnapura, Kandy, Gampaha, Matale, Kalutara, Puttlam, Nuwara Eliya",Heavy rains,,,,,,,,Km2,,,,,2022,9,2,2022,9,6,1,2,5476,,5478,,,,,,,,2,,25830;25837;25838;25844;25845;25851;25852;25853;41748;41749,"Colombo, Gampaha, Kalutara, Kandy, Kegalle, Kurunegala, Matale, Nuwara Eliya, Puttalam, Ratnapura (Adm2)."
2022-0137-MDG,2022,0137,,Natural,Meteorological,Storm,Tropical cyclone,,Tropical cyclone 'Gombe',Madagascar,MDG,Eastern Africa,Africa,"Maroantsetra (Analanjirofo Region), Antalaha Towns (Sava Region), Toamasina and Mahajanga Provinces",,,,,,,,90,Kph,,,,,2022,3,11,2022,3,12,2,,900,,900,,,,,,,,2,,154527;154556;154557;154563;154564;154596,"Antalaha, Mahajanga I, Mahajanga II, Maroantsetra, Toamasina I, Toamasina II (Adm2)."
2022-0239-MDG,2022,0239,,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm 'Jasmine',Madagascar,MDG,Eastern Africa,Africa,"Toliara I, Toliara II, Morombe, Sakaraha, Betioky Atsimo, Ankazoabo, Benenitra and Ampanihy",,,,,,,,53,Kph,,,,,2022,4,26,2022,4,27,12,,4800,,4800,,,,,,,,2,,154538;154539;154540;154542;154544;154545;154546,"Ampanihy Ouest, Ankazoabo, Benenitra, Betioky Atsimo, Sakaraha, Toliary-I, Toliary-II (Adm2)."
2022-0405-PAK,2022,0405,FL-2022-000270,Natural,Hydrological,Flood,,,,Pakistan,PAK,Southern Asia,Asia,"Lasbela, Jhal Magsi, Killa Saifullah, Pishin, Noshki, Kachhi, Khuzdar, Kalat and Chaman districts (Balochistan); Khyber Pakhtunkhwa, Sindh, Punjab, Azad Jammu, Gilgit Baltistan and Kashmir provinces",Monsoon rain,Storm,"Slide (land, mud, snow, rock)",,Yes,Yes,,,Km2,,,,,2022,6,14,2022,9,14,1739,12865,33000000,,33012865,,,,,,,,1;2,2276;2277;40408,23622;23632;40296;40297;40300;40302;40310,"Jammu and Kashmir (Administrative unit not available), Punjab, Sindh (Adm1). Jhal Magsi District, Kalat District, Khuzdar District, Khyber Agency, Killa Saifullah District, Lasbela District, Pishin District (Adm2)."
2022-0333-MEX,2022,0333,,Natural,Meteorological,Storm,Tropical cyclone,,Tropical cyclone 'Agatha',Mexico,MEX,Central America,Americas,"Coastal and Santiago Xanica (Sierra Sur Regions of Oaxaca); Chiapas, Guerrero, Tabasco, and Veracruz states",,Flood,"Slide (land, mud, snow, rock)",,,,,16,Kph,,,,,2022,5,30,2022,5,31,31,,,,,,,,,,,,1,2032;2039;2047;2054;2057,,"Chiapas, Guerrero, Oaxaca, Tabasco, Veracruz (Adm1)."
2022-0675-MEX,2022,0675,,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm 'Karl',Mexico,MEX,Central America,Americas,"Tabasco, Veracruz; Pichucalco, Ostuaca Municipalities (Chiapa); Oaxaca states",,Flood,"Slide (land, mud, snow, rock)",,,,,,Kph,,,,,2022,10,15,2022,10,16,3,,1000,,1000,,,,,,,,1;2,2047;2054;2057,19663;19669,"Oaxaca, Tabasco, Veracruz (Adm1). Ostuacan, Pichucalco (Adm2)."
2022-0698-MEX,2022,0698,,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane 'Roslyn',Mexico,MEX,Central America,Americas,"Santiago Ixcuintla, Rosamorada (Nayarit state); Jalisco, and Sinaloa",,Flood,"Slide (land, mud, snow, rock)",,,,,215,Kph,,,,,2022,10,23,2022,10,23,4,,15000,,15000,,,,,,,,1;2,2041;2052,20488;20493,"Jalisco, Sinaloa (Adm1). Rosamorada, Santiago Ixcuintla (Adm2)."
2022-0353-NPL,2022,0353,,Natural,Meteorological,Storm,Convective storm,Severe storm,,Nepal,NPL,Southern Asia,Asia,,,Flood,"Slide (land, mud, snow, rock)",,,,,,Kph,,,,,2022,6,,2022,6,20,21,29,515,,544,,,,,,,,,,,
2022-0522-NZL,2022,0522,,Natural,Meteorological,Storm,Convective storm,Severe storm,,New Zealand,NZL,Australia and New Zealand,Oceania,Nelson-Tasman and West Coast regions,,Flood,"Slide (land, mud, snow, rock)",,,Yes,,,Kph,,,,Maitai,2022,8,15,2022,8,18,,,690,,690,,,,,,,,,,,
2022-0204-PHL,2022,0204,TC-2022-000197,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm 'Megi' (Agaton),Philippines (the),PHL,South-Eastern Asia,Asia,"Davao Region, Northern Mindanao, Leyte, Southern Leyte,Negros Occidental and Iloilo provinces",,Flood,"Slide (land, mud, snow, rock)",,,Yes,,80,Kph,,,,,2022,4,10,2022,4,12,289,8,2081353,,2081361,,,,,5042,,,1;2,67160;67161,24250;24251;24258,"Region X (Northern Mindanao), Region XI (Davao Region) (Adm1). Iloilo, Leyte, Negros Occidental (Adm2)."
2022-0603-PRI,2022,0603,TC-2022-000314,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane 'Fiona',Puerto Rico,PRI,Caribbean,Americas,,,Flood,"Slide (land, mud, snow, rock)",,,Yes,,,Kph,,,,,2022,9,17,2022,9,18,25,,,,,,,,,,,,,,,
2022-0292-VNM,2022,0292,,Natural,Meteorological,Storm,Convective storm,,,Viet Nam,VNM,South-Eastern Asia,Asia,"Cao Bang, Yen Bai, Lang Son, Quang Ninh, Ha Giang, Bac Kan, Dien Bien",,Flood,"Slide (land, mud, snow, rock)",,,,,,Kph,,,,,2022,5,9,2022,5,13,9,,500,,500,,,,,,,,1,3328;3338;3345;3360;3375;3390;73936,,"Bac Kan, Cao Bang, Dien Bien, Ha Giang, Lang Son, Quang Ninh, Yen Bai (Adm1)."
2022-0676-VNM,2022,0676,TC-2022-000339,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm 'Sonca',Viet Nam,VNM,South-Eastern Asia,Asia,"Thua Thien Hue, Quang Tri, Quang Binh and Da Nang Provinces",,Flood,"Slide (land, mud, snow, rock)",,,,,,Kph,,,,,2022,10,13,2022,10,15,19,110,436868,,436978,,,,,,,,1,3340;3371;3376;3383,,"Da Nang City, Quang Binh, Quang Tri, Thua Thien - Hue (Adm1)."
2022-0195-PHL,2022,0195,,Natural,Hydrological,Flood,Flash flood,,,Philippines (the),PHL,South-Eastern Asia,Asia,"Maguindanao Province (Bangsamoro Region, western Mindanao); Agusan del Sur Province (Caraga Region, northern Mindanao); Mamasapano, Agusan del Sur, Davao de Oro and Sarangani provinces","Heavy rains, low-pressure system and the Intertropical Convergence Zone",Lightening,Storm,,,,,,Km2,,,,,2022,4,3,2022,4,7,3,,1955,,1955,,,,,,,,,,,
2022-0417-PRT,2022,0417,,Natural,Climatological,Wildfire,,,,Portugal,PRT,Southern Europe,Europe,"Leiria and Santarem districts in Ourém municipality (Santarem District); Porto district; Torre de Moncorvo, Bragança district",,Transport accident,Heat wave,,,,,,Km2,,,,,2022,7,9,2022,7,12,3,187,,,187,,,,,,,,1;2,2408;2409,24712,"Porto, Santarem (Adm1). Torre De Moncorvo (Adm2)."
2022-0707-PHL,2022,0707,TC-2022-000352,Natural,Meteorological,Storm,Tropical cyclone,,Storm 'Nalgae' (Paeng),Philippines (the),PHL,South-Eastern Asia,Asia,"Cotabato; Datu Blah Sinsuat (Mindanao Isl.); Virac, Catanduanes, Caramoan, Camarines Sur, Buenavista, Quezon, Santa Cruz, Marinduque, San Juan, Batangas; Region III (Central Luzon), Region VI (Western Visayas), Region VII (Central Visayas), National Capital region (NCR)",,"Slide (land, mud, snow, rock)",Flood,,,,,130,Kph,,,,,2022,10,27,2022,10,28,158,103,3323188,,3323291,,,,,45569,,,1;2,2354;2355;2363,24227;24234;24242;24243;24271;24273,"Cordillera Administrative region (CAR), National Capital region (NCR), Region VII (Central Visayas) (Adm1). Batangas, Camarines Sur, Catanduanes, North Cotabato, Quezon, South Cotabato (Adm2)."
2022-0680-TWN,2022,0680,,Natural,Meteorological,Storm,Tropical cyclone,,Tropical cyclone 'Nesat',Taiwan (Province of China),TWN,Eastern Asia,Asia,"Xizhi, Shilin District",,"Slide (land, mud, snow, rock)",Flood,,,,,,Kph,,,,,2022,10,15,2022,10,16,,,100,,100,,,,,400,,,,,,
2022-0212-USA,2022,0212,,Natural,Meteorological,Storm,Convective storm,Tornado,,United States of America (the),USA,Northern America,Americas,"Williamson and Bell Counties (Texas); Pocahontas County (Iowa); Atoka and Coal counties (Oklahoma); Faulkner, Franklin, Logan, Prairie, Sebastian, and White Counties (Arkansas); Mower County (Minnesota); Jefferson, Shelby, Hardin Counties (Kentucky); Louisiana, Mississippi, Alabama, Tennessee, Indiana",,Hail,Flood,,,,,265,Kph,,,,,2022,4,11,2022,4,14,1,28,,,28,,,,,2700000,,,1;2,3214;3228;3232;3238;3256,28812;28813;28831;28848;28854;28862;29542;29717;29726;29776;30041;30810;30822;31213;31445,"Alabama, Indiana, Louisiana, Mississippi, Tennessee (Adm1). Atoka, Bell, Coal, Faulkner, Franklin, Hardin, Jefferson, Logan, Mower, Pocahontas, Prairie, Sebastian, Shelby, White, Williamson (Adm2)."
2022-0185-USA,2022,0185,,Natural,Meteorological,Storm,Convective storm,Severe storm,,United States of America (the),USA,Northern America,Americas,"Washington County (Arkansas); Shelby, Chilton, Bibb Counties (Alabama); Iowa, Kansas, Missouri; Newton county (Texas); Lousiana; Bolivar, Calhoun, Hinds, Warren, Yazoo Counties (Mississippi); Trigg County (Kentucky); Washington County (Florida); Armstrong County (Pennsylvania)",,Hail,Flood,,,,,177,Kph,,,,,2022,3,29,2022,4,1,2,,90,,90,,,,,1300000,,,1;2,3229;3230;3232;3239,28694;28701;28748;28861;29064;29781;30084;30085;30103;30153;30160;30923;31375,"Iowa, Kansas, Louisiana, Missouri (Adm1). Armstrong, Bibb, Bolivar, Calhoun, Chilton, Hinds, Newton, Shelby, Trigg, Warren, Washington, Yazoo (Adm2)."
2022-0705-VEN,2022,0705,,Natural,Meteorological,Storm,Convective storm,Severe storm,,Venezuela (Bolivarian Republic of),VEN,South America,Americas,"Sucre, Zulia, Carabobo, Miranda, Aragua, La Guaira, Guárico, Anzoátegui, Monagas, Delta Amacuro, and the Capital Caraca",,Lightening,Flood,,,,,,Kph,,,,,2022,10,24,2022,10,27,,,30000,,30000,,,,,,,,1,3303;3305;3308;3310;3314;3317;3318;3321;3325,,"Anzoategui, Aragua, Carabobo, Delta Amacuro, Guarico, Miranda, Monagas, Sucre, Zulia (Adm1)."
2022-0685-PHL,2022,0685,,Natural,Hydrological,Landslide,,,,Philippines (the),PHL,South-Eastern Asia,Asia,"Bukidnon Town (Malitbog Province); Tagoloan Municipality, Cagayan De Oro City (Misamis Oriental province, Northern Mindanao Region )",,Flood,Lightening,,,,,,,,,,,2022,10,18,2022,10,19,5,,11712,,11712,,,,,,,,2,,24262;24265,"Bukidnon, Misamis Oriental (Adm2)."
2022-0446-NER,2022,0446,,Natural,Hydrological,Flood,,,,Niger (the),NER,Western Africa,Africa,"Zinder, Maradi, Diffa, Tahoua, Dosso,Tillabéri",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2022,6,,2022,9,24,195,185,322000,,322185,,,,,,,,1,2203;2204;2205;2207;2208;2209,,"Diffa, Dosso, Maradi, Tahoua, Tillaberi, Zinder (Adm1)."
2022-0493-NPL,2022,0493,,Natural,Hydrological,Flood,,,,Nepal,NPL,Southern Asia,Asia,Belaka municipality of Udayapur district; Saptakoshi,Incessant rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2022,8,2,2022,8,31,132,,5500,,5500,,,,,,,,,,,
2022-0590-NPL,2022,0590,,Natural,Hydrological,Flood,,,,Nepal,NPL,Southern Asia,Asia,Darchula District (Sudurpashchim Provincel); Kanchanpur District (Sudurpashchim Province),Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2022,9,9,2022,9,17,15,11,500,,511,,,,,,,,,,,
2022-0448-PHL,2022,0448,,Natural,Geophysical,Earthquake,Ground movement,,,Philippines (the),PHL,South-Eastern Asia,Asia,"Abra, Benguet, Ilocos Sur, Pangasinan, Mountain Province, Nueva Vizcaya",,"Slide (land, mud, snow, rock)",,,,Yes,,7,Richter,17.56,120.801,08:43,,2022,7,27,2022,7,27,10,394,502462,,502856,,,,,872,,,2,,24204;24206;24209;24212;24214;24218,"Abra, Benguet, Ilocos Sur, Mountain Province, Nueva Vizcaya, Pangasinan (Adm2)."
2022-0232-RWA,2022,0232,,Natural,Hydrological,Flood,,,,Rwanda,RWA,Eastern Africa,Africa,"Nyamasheke, Kicukiro, Gasabo, Ngororero, Kayonza districts",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2022,4,23,2022,4,24,11,13,,500,513,,,,,,,,2,,21977;21984;21985;21990;21994,"Gasabo, Kayonza, Kicukiro, Ngororero, Nyamasheke (Adm2)."
2022-0560-SLE,2022,0560,FF-2022-000309,Natural,Hydrological,Flood,,,,Sierra Leone,SLE,Western Africa,Africa,Freetown Capital City,Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2022,8,28,2022,9,,12,79,12903,,12982,,,,,,,,,,,
2022-0358-TUR,2022,0358,,Natural,Hydrological,Flood,,,,Turkey,TUR,Western Asia,Asia,"Karama; Akyurt, Alt?nda?, Çankaya, Keçiören, Yenimahalle, Mamak and Gölba?? districts. (Ankara); Yenifak?l? Yerköy and Bo?azl?yan districts (Yozgat province)",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2022,6,11,2022,6,15,3,,,,,,,,,,,,1,3023;3060;3095,,"Ankara, Karaman, Yozgat (Adm1)."
2022-0361-USA,2022,0361,,Natural,Hydrological,Flood,,,,United States of America (the),USA,Northern America,Americas,"Yellowstone National Park (Wyoming, Montana and Idaho states)",Heavy rain combined with glacier melt,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2022,6,11,2022,6,14,,,600,,600,,,,,,,,1,3226;3240;3264,,"Idaho, Montana, Wyoming (Adm1)."
2022-0230-UZB,2022,0230,,Natural,Hydrological,Flood,,,,Uzbekistan,UZB,Central Asia,Asia,Samarqand and Jizzakh regions,Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2022,4,20,2022,4,20,5,6,159,,165,,,,,,,,1,3292;39696,,"Jizzakh, Samarkand (Adm1)."
2022-0721-VEN,2022,0721,,Natural,Hydrological,Flood,,,,Venezuela (Bolivarian Republic of),VEN,South America,Americas,Guanta City; Puerto Cruz City (Anzoátegui State),Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2022,11,4,2022,11,4,7,,687,,687,,,,,,,,2,,31868,Guanta (Adm2).
